;Banen;Banen, seizoengecorrigeerd;Banengroei, seizoengecorrigeerd
2e kwartaal 2015;9 923;9 877;32
3e kwartaal 2015;9 944;9 911;35
4e kwartaal 2015;9 950;9 951;40
1e kwartaal 2016;9 897;9 964;13
2e kwartaal 2016;10 060;10 016;52
3e kwartaal 2016;10 073;10 059;43
4e kwartaal 2016;10 129;10 113;54
1e kwartaal 2017;10 093;10 173;60
2e kwartaal 2017;10 290;10 237;64
3e kwartaal 2017;10 323;10 311;74
4e kwartaal 2017;10 394;10 383;72
1e kwartaal 2018;10 387;10 460;77
2e kwartaal 2018;10 551;10 523;63
3e kwartaal 2018;10 615;10 586;63
4e kwartaal 2018;10 635;10 641;55
1e kwartaal 2019;10 638;10 701;60
2e kwartaal 2019;10 780;10 736;35
3e kwartaal 2019;10 769;10 769;33
4e kwartaal 2019;10 866;10 814;45
1e kwartaal 2020;10 728;10 812;-2
2e kwartaal 2020;10 554;10 502;-310
3e kwartaal 2020;10 673;10 669;167
4e kwartaal 2020;10 688;10 667;-2
1e kwartaal 2021;10 617;10 681;14
2e kwartaal 2021;10 875;10 826;145
3e kwartaal 2021;10 983;10 993;167
4e kwartaal 2021;11 086;11 047;54
1e kwartaal 2022;11 062;11 134;87
2e kwartaal 2022;11 269;11 225;91
3e kwartaal 2022;11 302;11 302;77
4e kwartaal 2022;11 415;11 381;78
1e kwartaal 2023;11 358;11 426;45
2e kwartaal 2023;11 487;11 447;21
3e kwartaal 2023;11 474;11 483;37
4e kwartaal 2023;11 554;11 527;44
1e kwartaal 2024;11 486;11 560;32
2e kwartaal 2024;11 629;11 573;13
3e kwartaal 2024;11 577;11 590;18
4e kwartaal 2024;11 644;11 624;33
1e kwartaal 2025;11 574;11 635;12
2e kwartaal 2025;11 716;11 663;28
