"Perioden";"Bevolking aan het begin van de periode (aantal)";"Levend geboren kinderen (aantal)";"Overledenen (aantal)";"Immigratie (aantal)";"Emigratie inclusief administratieve c... (aantal)";"Overige correcties (aantal)";"Totale bevolkingsgroei (aantal)";"Bevolking aan het eind van de periode (aantal)"
"2014";16829289;175181;139223;182949;147862;392;71437;16900726
"2015";16900726;170510;147134;204615;149509;-88;78394;16979120
"2016";16979120;172520;148997;230739;151545;-330;102387;17081507
"2017";17081507;169836;150214;234957;154292;-710;99577;17181084
"2018";17181084;168525;153363;243737;157366;-454;101079;17282163
"2019";17282163;169680;151885;269064;161029;-408;125422;17407585
"2020";17407585;168681;168678;220853;152494;-532;67830;17475415
"2021";17475415;179441;170972;252528;145330;-410;115257;17590672
"2022";17590672;167504;170112;403108;179310;-571;220619;17811291
"2023";17811291;164487;169521;335668;198302;-681;131651;17942942
"2024";17942942;166143;172165;316305;208537;-661;101085;18044027
