;Werkzame beroepsbevolking
2e kwartaal 2015;8 453
3e kwartaal 2015;8 470
4e kwartaal 2015;8 472
1e kwartaal 2016;8 495
2e kwartaal 2016;8 547
3e kwartaal 2016;8 598
4e kwartaal 2016;8 638
1e kwartaal 2017;8 680
2e kwartaal 2017;8 715
3e kwartaal 2017;8 773
4e kwartaal 2017;8 811
1e kwartaal 2018;8 859
2e kwartaal 2018;8 910
3e kwartaal 2018;8 968
4e kwartaal 2018;9 021
1e kwartaal 2019;9 069
2e kwartaal 2019;9 102
3e kwartaal 2019;9 126
4e kwartaal 2019;9 171
1e kwartaal 2020;9 214
2e kwartaal 2020;9 048
3e kwartaal 2020;9 070
4e kwartaal 2020;9 131
1e kwartaal 2021;9 172
2e kwartaal 2021;9 202
3e kwartaal 2021;9 284
4e kwartaal 2021;9 365
1e kwartaal 2022;9 448
2e kwartaal 2022;9 541
3e kwartaal 2022;9 551
4e kwartaal 2022;9 654
1e kwartaal 2023;9 703
2e kwartaal 2023;9 727
3e kwartaal 2023;9 734
4e kwartaal 2023;9 784
1e kwartaal 2024;9 801
2e kwartaal 2024;9 816
3e kwartaal 2024;9 782
4e kwartaal 2024;9 791
1e kwartaal 2025;9 814
2e kwartaal 2025;9 830
